DEL	INS	MNV	SNV	barcode	med_tdepth	med_ndepth	med_VAF	purity_medVAF	cancer	sample15	cna_barcode	cna_nb_seg	cna_cancer	purity_cn_loss	nb_arm_loss	nb_arm_gain	nb_arm_CNA	min_arm_log2R	max_arm_log2R	purity_cna_vaf	purity_ascat	ploidy_ascat	purity_infinium	purity_absolute_infinium	purity_absolute_SKCM	ploidy_absolute_SKCM	doublings_absolute_SKCM	purity_methyl_SKCM	cg05630725_SOX5_beta	cg14112754_GP5_beta
6	10	0	108	TCGA-ZX-AA5X-01A-11D-A42O-09	60	71	0.180909090909091	0.361818181818182	CESC	TCGA-ZX-AA5X-01	TCGA-ZX-AA5X-01A-11D-A42N-01	101	CESC	0.373016071504242	2	2	4	-0.2978	-0.2978	0.367417126661212	NA	NA	0.49	NA	NA	NA	NA	NA	NA	NA
10	5	0	48	TCGA-ZU-A8S4-01A-11D-A417-09	54	47	0.142857142857143	0.285714285714286	CHOL	TCGA-ZU-A8S4-01	TCGA-ZU-A8S4-01A-11D-A416-01	151	CHOL	0.289165743608623	6	0	6	-0.2253	-0.2253	0.287440014661454	NA	NA	0.44	NA	NA	NA	NA	NA	NA	NA
4	1	0	10	TCGA-ZT-A8OM-01A-11D-A428-09	73	44	0.113636363636364	0.227272727272727	THYM	TCGA-ZT-A8OM-01	TCGA-ZT-A8OM-01A-11D-A427-01	64	THYM	0.161027379983155	2	0	2	-0.1211	-0.1211	0.227272727272727	NA	NA	0.89	NA	NA	NA	NA	NA	NA	NA
5	7	0	228	TCGA-ZS-A9CG-01A-11D-A36X-10	76	89.5	0.355263157894737	0.710526315789474	LIHC	TCGA-ZS-A9CG-01	TCGA-ZS-A9CG-01A-11D-A36W-01	83	LIHC	0.753053126564572	6	3	9	-0.6816	-0.6816	0.731789721177023	NA	NA	0.78	NA	NA	NA	NA	NA	NA	NA
16	17	1	286	TCGA-ZS-A9CF-01A-11D-A382-10	54	60	0.463251279893401	0.926502559786801	LIHC	TCGA-ZS-A9CF-01	TCGA-ZS-A9CF-01A-11D-A381-01	879	LIHC	0.99031869060418	6	2	8	-0.9861	-0.9861	0.95841062519549	NA	NA	0.88	NA	NA	NA	NA	NA	NA	NA
20	10	6	302	TCGA-ZS-A9CE-01A-11D-A36X-10	78	67.5	0.4	0.8	LIHC	TCGA-ZS-A9CE-01	TCGA-ZS-A9CE-01A-11D-A36W-01	308	LIHC	0.882403041207641	11	3	14	-0.8396	-0.8396	0.84120152060382	NA	NA	0.86	NA	NA	NA	NA	NA	NA	NA
16	3	4	262	TCGA-ZS-A9CD-01A-11D-A36X-10	68	77	0.275862068965517	0.551724137931034	LIHC	TCGA-ZS-A9CD-01	TCGA-ZS-A9CD-01A-11D-A36W-01	79	LIHC	0.58686431061396	1	4	5	-0.5011	-0.5011	0.569294224272497	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA
22	16	2	322	TCGA-ZR-A9CJ-01B-11D-A387-09	53	46.5	0.260769230769231	0.521538461538462	ESCA	TCGA-ZR-A9CJ-01	TCGA-ZR-A9CJ-01B-11D-A386-01	346	ESCA	0.317740812861301	10	12	22	-0.2496	-0.2496	0.419639637199881	NA	NA	0.54	NA	NA	NA	NA	NA	NA	NA
11	8	0	137	TCGA-ZQ-A9CR-01A-11D-A397-08	61	54.5	0.200917431192661	0.401834862385321	STAD	TCGA-ZQ-A9CR-01	TCGA-ZQ-A9CR-01A-11D-A396-01	413	STAD	0.204357684289026	18	7	25	-0.1555	-0.1555	0.303096273337173	NA	NA	0.46	NA	NA	NA	NA	NA	NA	NA
18	5	1	183	TCGA-ZP-A9D4-01A-11D-A36X-10	60	59	0.40625	0.8125	LIHC	TCGA-ZP-A9D4-01	TCGA-ZP-A9D4-01A-11D-A36W-01	270	LIHC	0.881628113488196	2	3	5	-0.8386	-0.8386	0.847064056744098	NA	NA	0.87	NA	NA	NA	NA	NA	NA	NA
9	3	0	176	TCGA-ZP-A9D2-01A-11D-A382-10	62.5	64	0.351351351351351	0.702702702702703	LIHC	TCGA-ZP-A9D2-01	TCGA-ZP-A9D2-01A-11D-A381-01	245	LIHC	0.737747967887884	8	3	11	-0.664	-0.664	0.720225335295294	NA	NA	0.71	NA	NA	NA	NA	NA	NA	NA
14	2	1	412	TCGA-ZP-A9D1-01A-11D-A382-10	62	66	0.317567567567568	0.635135135135135	LIHC	TCGA-ZP-A9D1-01	TCGA-ZP-A9D1-01A-11D-A381-01	72	LIHC	0.444907928234883	13	9	22	-0.363	-0.363	0.540021531685009	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA
26	3	0	179	TCGA-ZP-A9D0-01A-11D-A36X-10	62	68	0.377274899014029	0.754549798028059	LIHC	TCGA-ZP-A9D0-01	TCGA-ZP-A9D0-01A-11D-A36W-01	144	LIHC	0.708094987117544	3	1	4	-0.6305	-0.6305	0.731322392572802	NA	NA	0.75	NA	NA	NA	NA	NA	NA	NA
13	4	2	148	TCGA-ZP-A9CZ-01A-11D-A382-10	62	61	0.32258064516129	0.645161290322581	LIHC	TCGA-ZP-A9CZ-01	TCGA-ZP-A9CZ-01A-11D-A381-01	136	LIHC	0.729584869526423	3	5	8	-0.6547	-0.6547	0.687373079924502	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA
18	7	1	208	TCGA-ZP-A9CY-01A-11D-A382-10	93.5	65.5	0.333333333333333	0.666666666666667	LIHC	TCGA-ZP-A9CY-01	TCGA-ZP-A9CY-01A-11D-A381-01	75	LIHC	0.266485384682899	1	0	1	-0.2063	-0.2063	0.466576025674783	NA	NA	0.72	NA	NA	NA	NA	NA	NA	NA
24	6	4	274	TCGA-ZP-A9CV-01A-11D-A382-10	67	71.5	0.318181818181818	0.636363636363636	LIHC	TCGA-ZP-A9CV-01	TCGA-ZP-A9CV-01A-11D-A381-01	69	LIHC	0.66309217519549	3	2	5	-0.5811	-0.5811	0.649727905779563	NA	NA	0.71	NA	NA	NA	NA	NA	NA	NA
9	8	0	101	TCGA-ZN-A9VW-01A-11D-A39R-32	111.5	40.5	0.296296296296296	0.592592592592593	MESO	TCGA-ZN-A9VW-01	TCGA-ZN-A9VW-01A-11D-A39Q-01	339	MESO	0.65724136424928	3	3	6	-0.5748	-0.5748	0.624916978420937	NA	NA	0.63	NA	NA	NA	NA	NA	NA	NA
10	5	0	62	TCGA-ZN-A9VV-01A-11D-A39R-32	74	49	0.435483870967742	0.870967741935484	MESO	TCGA-ZN-A9VV-01	TCGA-ZN-A9VV-01A-11D-A39Q-01	169	MESO	0.995136179576215	2	0	2	-0.993	-0.993	0.933051960755849	NA	NA	0.84	NA	NA	NA	NA	NA	NA	NA
13	7	0	68	TCGA-ZN-A9VU-01A-11D-A39R-32	52.5	72	0.291178989437625	0.58235797887525	MESO	TCGA-ZN-A9VU-01	TCGA-ZN-A9VU-01A-11D-A39Q-01	192	MESO	0.670208556357762	4	4	8	-0.5888	-0.5888	0.626283267616506	NA	NA	0.59	NA	NA	NA	NA	NA	NA	NA
24	10	0	104	TCGA-ZN-A9VS-01A-11D-A39R-32	53	54	0.298648648648649	0.597297297297297	MESO	TCGA-ZN-A9VS-01	TCGA-ZN-A9VS-01A-11D-A39Q-01	121	MESO	0.690151460128487	10	1	11	-0.6106	-0.6106	0.643724378712892	NA	NA	0.64	NA	NA	NA	NA	NA	NA	NA
10	6	0	109	TCGA-ZN-A9VQ-01A-11D-A39R-32	35	35	0.454545454545455	0.909090909090909	MESO	TCGA-ZN-A9VQ-01	TCGA-ZN-A9VQ-01A-11D-A39Q-01	119	MESO	0.975443176967199	5	3	8	-0.965	-0.965	0.942267043029054	NA	NA	0.83	NA	NA	NA	NA	NA	NA	NA
5	2	0	38	TCGA-ZN-A9VP-01A-11D-A39R-32	67	49	0.342318059299191	0.684636118598383	MESO	TCGA-ZN-A9VP-01	TCGA-ZN-A9VP-01A-11D-A39Q-01	222	MESO	0.714882743158217	7	7	14	-0.6381	-0.6381	0.6997594308783	NA	NA	0.69	NA	NA	NA	NA	NA	NA	NA
7	8	0	42	TCGA-ZN-A9VO-01A-11D-A39R-32	62	45	0.3	0.6	MESO	TCGA-ZN-A9VO-01	TCGA-ZN-A9VO-01A-11D-A39Q-01	208	MESO	0.779899489727777	7	2	9	-0.713	-0.713	0.689949744863888	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA
1	1	0	26	TCGA-ZM-AA0N-01A-21D-A435-10	52.5	52.5	0.163213530655391	0.326427061310782	TGCT	TCGA-ZM-AA0N-01	TCGA-ZM-AA0N-01A-21D-A434-01	330	TGCT	0.303572235542686	12	17	29	-0.2375	-0.2375	0.314999648426734	NA	NA	0.49	NA	NA	NA	NA	NA	NA	NA
6	1	0	39	TCGA-ZM-AA0H-01A-11D-A435-10	64.5	63.5	0.142680921052632	0.285361842105263	TGCT	TCGA-ZM-AA0H-01	TCGA-ZM-AA0H-01A-11D-A434-01	111	TGCT	0.223669538427624	7	8	15	-0.1711	-0.1711	0.254515690266443	NA	NA	0.51	NA	NA	NA	NA	NA	NA	NA
